pick,team,team_img,player,player_details,source,url_path,date
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Kenyon Sadiq,"TE, Oregon",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Ty Simpson,"QB, Alabama",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
17,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Cashius Howell,"EDGE, Texas A&M",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
18,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Mansoor Delane,"CB, LSU",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,T.J. Parker,"EDGE, Clemson",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Jermod McCoy,"CB, Tennessee",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Elijah Sarratt,"WR, Indiana",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,Olaivavega Ioane,"IOL, Penn State",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Denzel Boston,"WR, Washington",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
24,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Spencer Fano,"OT, Utah",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Kayden McDonald,"DL, Ohio State",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
26,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/a12blaj51bmw2yl495jrpzqzlmx3,Germie Bernard,"WR, Alabama",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
27,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Kadyn Proctor,"OT, Alabama",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
28,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Caleb Lomu,"OT, Utah",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Colton Hood,"CB, Tennessee",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,Akheem Mesidor,"EDGE, Miami (FL)",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,C.J. Allen,"LB, Georgia",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
32,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/vc8adiakazhr4lp4ri5nfq7fo3x3,Avieon Terrell,"CB, Clemson",NFL Mocks,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-01-17,01/17/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Spencer Fano,"OT, Utah",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Carnell Tate,"WR, Ohio State",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Caleb Downs,"S, Ohio State",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Jordyn Tyson,"WR, Arizona State",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,Rueben Bain,"EDGE, Miami (FL)",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Jeremiyah Love,"RB, Notre Dame",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,David Bailey,"EDGE, Texas Tech",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,Peter Woods,"DL, Clemson",Stadium Rant,/mock-drafts/2026/stadium-rant-2026-cameron-willey?date=2026-01-16,01/16/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Francis Mauigoa,"OT, Miami (FL)",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Jordyn Tyson,"WR, Arizona State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Caleb Downs,"S, Ohio State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Carnell Tate,"WR, Ohio State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,David Bailey,"EDGE, Texas Tech",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Rueben Bain,"EDGE, Miami (FL)",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Jeremiyah Love,"RB, Notre Dame",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,Mansoor Delane,"CB, LSU",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Spencer Fano,"OT, Utah",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Keldric Faulk,"EDGE, Auburn",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Jermod McCoy,"CB, Tennessee",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
14,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/l3c3j9tg15hi8c9uwjh63zos2wq9,Peter Woods,"DL, Clemson",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Sonny Styles,"LB, Ohio State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Ty Simpson,"QB, Alabama",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
17,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Kadyn Proctor,"OT, Alabama",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
18,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Makai Lemon,"WR, USC",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Cashius Howell,"EDGE, Texas A&M",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Kevin Concepcion,"WR, Texas A&M",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Denzel Boston,"WR, Washington",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,Kayden McDonald,"DL, Ohio State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,T.J. Parker,"EDGE, Clemson",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
24,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Caleb Lomu,"OT, Utah",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Caleb Banks,"DL, Florida",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
26,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/a12blaj51bmw2yl495jrpzqzlmx3,Dillon Thieneman,"S, Oregon",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
27,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Akheem Mesidor,"EDGE, Miami (FL)",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
28,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Olaivavega Ioane,"IOL, Penn State",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Romello Height,"EDGE, Texas Tech",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,Christen Miller,"DL, Georgia",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,Kenyon Sadiq,"TE, Oregon",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
32,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/vc8adiakazhr4lp4ri5nfq7fo3x3,Keionte Scott,"CB, Miami (FL)",SI,/mock-drafts/2026/si-2026-richie-bradshaw?date=2026-01-16,01/16/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Spencer Fano,"OT, Utah",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Jordyn Tyson,"WR, Arizona State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Carnell Tate,"WR, Ohio State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Francis Mauigoa,"OT, Miami (FL)",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,Caleb Downs,"S, Ohio State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Rueben Bain,"EDGE, Miami (FL)",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Jeremiyah Love,"RB, Notre Dame",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,David Bailey,"EDGE, Texas Tech",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Peter Woods,"DL, Clemson",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Jermod McCoy,"CB, Tennessee",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Ty Simpson,"QB, Alabama",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
14,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/l3c3j9tg15hi8c9uwjh63zos2wq9,Keldric Faulk,"EDGE, Auburn",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Sonny Styles,"LB, Ohio State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Mansoor Delane,"CB, LSU",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
17,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Kadyn Proctor,"OT, Alabama",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
18,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Avieon Terrell,"CB, Clemson",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Kenyon Sadiq,"TE, Oregon",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Caleb Lomu,"OT, Utah",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Makai Lemon,"WR, USC",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,Olaivavega Ioane,"IOL, Penn State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Cashius Howell,"EDGE, Texas A&M",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
24,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Kevin Concepcion,"WR, Texas A&M",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Kayden McDonald,"DL, Ohio State",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
26,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/a12blaj51bmw2yl495jrpzqzlmx3,C.J. Allen,"LB, Georgia",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
27,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Romello Height,"EDGE, Texas Tech",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
28,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Emmanuel Pregnon,"IOL, Oregon",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Colton Hood,"CB, Tennessee",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,Elijah Sarratt,"WR, Indiana",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,Monroe Freeling,"OT, Georgia",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
32,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/vc8adiakazhr4lp4ri5nfq7fo3x3,Akheem Mesidor,"EDGE, Miami (FL)",Cleveland.com,/mock-drafts/2026/cleveland-com-2026-tim-bielik?date=2026-01-16,01/16/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Rueben Bain,"EDGE, Miami (FL)",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Carnell Tate,"WR, Ohio State",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Makai Lemon,"WR, USC",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Jordyn Tyson,"WR, Arizona State",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,Caleb Downs,"S, Ohio State",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Keldric Faulk,"EDGE, Auburn",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Peter Woods,"DL, Clemson",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,David Bailey,"EDGE, Texas Tech",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Ty Simpson,"QB, Alabama",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Sonny Styles,"LB, Ohio State",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Mansoor Delane,"CB, LSU",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
14,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Kenyon Sadiq,"TE, Oregon",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
15,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Denzel Boston,"WR, Washington",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
16,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Francis Mauigoa,"OT, Miami (FL)",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
17,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Jeremiyah Love,"RB, Notre Dame",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
18,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Spencer Fano,"OT, Utah",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
19,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Avieon Terrell,"CB, Clemson",Saturday Blitz,/mock-drafts/2026/saturday-blitz-2026-nicholas-rome?date=2026-01-15,01/15/26
